"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'CIF (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'CIF (Baht)')"
AU,AUSTRALIA,12319,977720,60881,4941528
AT,AUSTRIA,225,21667,225,21667
BE,BELGIUM,99000,4649979,425876,22526504
BR,BRAZIL,180,37834,180,37834
CN,CHINA,510101,32177275,3516002,215394458
FI,FINLAND,0,0,75625,4770499
FR,FRANCE,49500,2792227,218412,12003442
DE,GERMANY,9915,481247,63889,14971401
IN,INDIA,6547,477456,23872,1152383
ID,INDONESIA,3400,403539,99994,11713360
IL,ISRAEL,0,0,6,197
IT,ITALY,32825,1878979,197945,13277694
JP,JAPAN,1042107,68682654,5990035,408377226
KP,KOREA DPR,0,0,78200,4231464
KR,"KOREA,REPUBLIC OF",1740435,91192699,8737233,463387096
KW,KUWAIT,0,0,24750,1122962
MY,MALAYSIA,223743,15261102,565381,58405762
MA,MOROCCO,0,0,130,70395
NL,NETHERLANDS,108500,8384387,346400,25843765
PH,PHILIPPINES,0,0,5,1191
RU,RUSSIAN FEDERATION,0,0,198000,8259404
SA,SAUDI ARABIA,4242430,165435700,17149815,644224829
SG,SINGAPORE,1647424,85754043,6757073,375286588
SK,SLOVAKIA,0,0,5250,365550
ZA,SOUTH AFRICA,99000,4090663,99000,4090663
ES,SPAIN,0,0,49500,2223686
CH,SWITZERLAND,0,0,2,740
TW,"TAIWAN, PROVINCE OF CHINA",48955,2936188,1104268,43493935
TH,THAILAND,286380,14123126,596760,27766739
AE,UNITED ARAB EMIRATES,283400,12016783,1349725,50752708
GB,UNITED KINGDOM,0,0,20150,2492840
US,UNITED STATES,559776,25294524,1632370,86319116
VN,VIETNAM,11685,1507823,41120,4802601
SUM,SUM,11017847,538577615,49428074,2512330227
