"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2013', 'Quantity')","('Dec 2013', 'CIF (Baht)')","('Jan - Dec 2013', 'Quantity')","('Jan - Dec 2013', 'CIF (Baht)')"
AU,AUSTRALIA,32500,1869082,312287,15994287
AT,AUSTRIA,0,0,3,2512
BE,BELGIUM,55200,3618729,1274325,88708348
CA,CANADA,0,0,20,13799
CN,CHINA,607440,42031023,11840875,780883937
CO,COLOMBIA,0,0,86968,1300303
CZ,CZECH REPUBLIC,0,0,25016,1722359
FI,FINLAND,0,0,182875,11962414
FR,FRANCE,27750,2242596,823851,49709038
DE,GERMANY,10250,2903149,279068,47972761
HK,HONG KONG,0,0,17093,1101966
IN,INDIA,3750,288912,77058,3546020
ID,INDONESIA,21601,3271773,166305,23074430
IL,ISRAEL,12050,1331893,29584,3053224
IT,ITALY,19800,2374412,46460,6632314
JP,JAPAN,1500936,92594979,12231549,953526579
KP,KOREA DPR,0,0,82000,4350948
KR,"KOREA,REPUBLIC OF",1772817,104398563,27996632,1606204755
KW,KUWAIT,0,0,148500,6836895
MY,MALAYSIA,73044,9874044,1044089,133892733
MX,MEXICO,0,0,45,14428
NL,NETHERLANDS,69500,5528556,823000,68699359
NZ,NEW ZEALAND,0,0,14250,920182
PT,PORTUGAL,0,0,1216,91344
SA,SAUDI ARABIA,3212450,155500148,45097190,2064187597
SG,SINGAPORE,1171982,71866688,17959829,982711924
SK,SLOVAKIA,0,0,700,145770
ES,SPAIN,11000,1299422,112750,12699610
SE,SWEDEN,0,0,147,26423
CH,SWITZERLAND,0,0,101,474851
TW,"TAIWAN, PROVINCE OF CHINA",179150,9773934,2287804,120312377
TH,THAILAND,0,0,595,76721
TR,TÜRKIYE,0,0,6525,752178
AE,UNITED ARAB EMIRATES,0,0,1587130,74574556
GB,UNITED KINGDOM,0,0,2092,332439
US,UNITED STATES,335308,16781220,3424151,182794999
VN,VIETNAM,1913,353457,30102,6134431
SUM,SUM,9118441,527902580,128012185,7255438811
