"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'CIF (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'CIF (Baht)')"
BE,BELGIUM,0,0,72000,9906906
CN,CHINA,12000,1795710,81902,8483896
FI,FINLAND,72600,3849752,124850,8028814
FR,FRANCE,54,44876,2554,312095
DE,GERMANY,500,205791,20500,1926924
JP,JAPAN,16000,1824471,16000,1824471
KR,"KOREA,REPUBLIC OF",462000,34449195,576400,44192831
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1,254
GB,UNITED KINGDOM,20400,1909168,20400,1909168
US,UNITED STATES,25,8037,370388,32341011
VN,VIETNAM,64000,3995867,75000,4736460
SUM,SUM,647579,48082867,1359995,113662830
