"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'CIF (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,500,50816
BR,BRAZIL,0,0,26,13519
CN,CHINA,0,0,82,498392
DE,GERMANY,0,0,87,56556
JP,JAPAN,1100,187964,11994,1968613
KR,"KOREA,REPUBLIC OF",0,0,52500,2515865
MY,MALAYSIA,135500,5903308,218000,9890343
QA,QATAR,25,8844,25,8844
SA,SAUDI ARABIA,198000,8399238,1269500,55425921
SG,SINGAPORE,0,0,198000,8645279
ES,SPAIN,74250,3211850,321750,13405546
AE,UNITED ARAB EMIRATES,0,0,149000,7015830
SUM,SUM,408875,17711204,2221464,99495524
