"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'CIF (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'CIF (Baht)')"
CN,CHINA,25600,2798874,25600,2798874
FI,FINLAND,123525,7994174,123525,7994174
DE,GERMANY,151883,14018259,151883,14018259
IN,INDIA,49500,2569836,49500,2569836
ID,INDONESIA,500,50837,500,50837
JP,JAPAN,309885,29318741,309885,29318741
KR,"KOREA,REPUBLIC OF",280000,17482244,280000,17482244
KW,KUWAIT,396000,19815212,396000,19815212
MY,MALAYSIA,3516370,196270393,3516370,196270393
NL,NETHERLANDS,75625,6802738,75625,6802738
NZ,NEW ZEALAND,32000,865134,32000,865134
QA,QATAR,510000,27415300,510000,27415300
SA,SAUDI ARABIA,2652650,140582865,2652650,140582865
SG,SINGAPORE,2207857,125943145,2207857,125943145
ES,SPAIN,144000,15833061,144000,15833061
CH,SWITZERLAND,505,128423,505,128423
TW,"TAIWAN, PROVINCE OF CHINA",17050,1163216,17050,1163216
GB,UNITED KINGDOM,40000,2666930,40000,2666930
US,UNITED STATES,295341,20628609,295341,20628609
VN,VIETNAM,3000,416306,3000,416306
SUM,SUM,10831291,632764297,10831291,632764297
