"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'CIF (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,108,45991
AT,AUSTRIA,0,0,2750,231487
BD,BANGLADESH,0,0,36,7135
BE,BELGIUM,59034,3369139,397224,18376257
BR,BRAZIL,0,0,1100,189966
CA,CANADA,0,0,34250,2424630
CN,CHINA,188926,5095856,1438356,43632983
FR,FRANCE,0,0,49500,2270559
DE,GERMANY,10000,752957,32460,1699339
HK,HONG KONG,7,1445,9,1824
IN,INDIA,1015,521682,1965,3637765
ID,INDONESIA,0,0,1,73
IT,ITALY,0,0,199850,21538626
JP,JAPAN,306405,11869074,1756575,101048109
KR,"KOREA,REPUBLIC OF",1642330,59551118,12599423,539684341
MY,MALAYSIA,19745,1945847,223531,18041605
PT,PORTUGAL,6048,648406,54432,5921282
SA,SAUDI ARABIA,297000,11543898,717750,28503519
SG,SINGAPORE,103000,3577387,155961,5425518
ES,SPAIN,0,0,5,2407
SE,SWEDEN,0,0,53200,2033716
TW,"TAIWAN, PROVINCE OF CHINA",1607500,62939741,6805703,303294629
TH,THAILAND,0,0,22075,952926
GB,UNITED KINGDOM,300,17470,20795,2068500
US,UNITED STATES,170150,7015808,1247977,61809695
VN,VIETNAM,1920,134574,66490,2696351
SUM,SUM,4413380,168984402,25881526,1165539233
