"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'CIF (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'CIF (Baht)')"
CN,CHINA,0,0,15510,1095131
FR,FRANCE,15120,914649,62141,4295959
DE,GERMANY,525,92252,4729,767239
IN,INDIA,14400,669062,28450,1369652
IT,ITALY,0,0,50,26988
JP,JAPAN,38870,2033005,822301,35735171
KR,"KOREA,REPUBLIC OF",100800,5147809,916520,45441512
MY,MALAYSIA,0,0,1000,264729
RU,RUSSIAN FEDERATION,1500,510357,9750,1862995
US,UNITED STATES,6,5682,690,180278
SUM,SUM,171221,9372816,1861141,91039654
