"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2021', 'Quantity')","('Mar 2021', 'CIF (Baht)')","('Jan - Mar 2021', 'Quantity')","('Jan - Mar 2021', 'CIF (Baht)')"
AU,AUSTRALIA,2500,157917,2500,157917
BD,BANGLADESH,50,1524,50,1524
BE,BELGIUM,147100,7499449,242013,11519802
CA,CANADA,17000,1013731,17000,1013731
CN,CHINA,151998,7778921,298352,14361157
FR,FRANCE,0,0,49500,2763935
DE,GERMANY,2000,359635,2000,359635
IN,INDIA,300,1080862,300,1080862
IT,ITALY,13750,1685998,42850,4265978
JP,JAPAN,525885,33828668,1201363,71923603
KR,"KOREA,REPUBLIC OF",765340,49964410,4878600,310250486
MY,MALAYSIA,12930,1099068,78991,6803830
PT,PORTUGAL,0,0,19872,2215192
SA,SAUDI ARABIA,0,0,49500,3212141
SG,SINGAPORE,99000,5856554,105550,6064478
ES,SPAIN,26,12145,29,13636
TW,"TAIWAN, PROVINCE OF CHINA",1433000,104084435,2297650,165161595
US,UNITED STATES,82400,5106590,197555,11194844
SUM,SUM,3253279,219529907,9483675,612364346
