"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2013', 'Quantity')","('Sept 2013', 'CIF (Baht)')","('Jan - Sept 2013', 'Quantity')","('Jan - Sept 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,33783,1980821
AT,AUSTRIA,0,0,8715,1757607
BE,BELGIUM,60250,5253216,421828,36195035
BR,BRAZIL,0,0,671,116757
CA,CANADA,150000,6952154,612507,29496490
CN,CHINA,343149,12100386,2854266,127477084
CZ,CZECH REPUBLIC,0,0,40000,10269876
FI,FINLAND,0,0,50,53989
FR,FRANCE,12450,1744586,24975,3746932
DE,GERMANY,281800,15712422,1657983,118643417
HK,HONG KONG,22,11317,586,100024
IN,INDIA,0,0,30,5673
ID,INDONESIA,0,0,11273,3547780
IT,ITALY,0,0,1275,930276
JP,JAPAN,453113,47941357,3382417,358155441
KR,"KOREA,REPUBLIC OF",347300,18227094,3890768,253410525
MY,MALAYSIA,46670,3163789,285027,20394475
NL,NETHERLANDS,1200,100877,154650,11908009
NO,NORWAY,0,0,1,1398
PH,PHILIPPINES,0,0,8950,2208397
QA,QATAR,102000,4921744,425250,18640997
SA,SAUDI ARABIA,1184850,55348913,7381100,327191088
SG,SINGAPORE,1652257,95353962,15385615,824882353
ES,SPAIN,371250,17442290,492252,23696210
SE,SWEDEN,0,0,40000,1555844
CH,SWITZERLAND,0,3441,6990,892214
TW,"TAIWAN, PROVINCE OF CHINA",144025,7927788,1631071,88908814
TH,THAILAND,0,0,8850,514556
AE,UNITED ARAB EMIRATES,123750,6128370,2266200,103050136
GB,UNITED KINGDOM,2790,331000,11540,2094780
US,UNITED STATES,863990,85037215,9544834,877643582
VN,VIETNAM,2302,203757,83277,7151268
VG,VIRGIN ISLANDS (BRITISH),0,0,137,141409
SUM,SUM,6143168,383905678,50666871,3256763257
