"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'CIF (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'CIF (Baht)')"
AT,AUSTRIA,350,829994,1482,2508437
BD,BANGLADESH,0,0,22,5948
BE,BELGIUM,0,0,6330,2089614
BR,BRAZIL,382,140906,1337,500131
CA,CANADA,0,0,11,121484
CN,CHINA,169942,12850298,527790,43619348
FR,FRANCE,50,42033,61472,4008703
DE,GERMANY,384770,26766899,571921,45566471
HK,HONG KONG,0,0,129600,12999250
IN,INDIA,25,4892,25,4892
ID,INDONESIA,0,0,22543,2488339
IT,ITALY,0,0,10260,2196289
JP,JAPAN,200851,32144399,683436,117638943
KR,"KOREA,REPUBLIC OF",327628,23854636,1567683,97246025
MY,MALAYSIA,90830,6939539,476798,38646855
NL,NETHERLANDS,23900,2865211,40400,5951202
NO,NORWAY,0,0,480,191411
SA,SAUDI ARABIA,297000,13222657,594025,25602865
SG,SINGAPORE,39405,4859303,154245,22868287
ES,SPAIN,0,991,0,991
TW,"TAIWAN, PROVINCE OF CHINA",2643,3023668,2643,3023668
TH,THAILAND,0,0,150,28270
AE,UNITED ARAB EMIRATES,347490,23167470,649440,51730416
GB,UNITED KINGDOM,10410,1750595,36618,5594997
US,UNITED STATES,19182,4600821,338160,61233016
VN,VIETNAM,4,801,5004,467532
SUM,SUM,1914862,157065113,5881875,546333384
