"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2012', 'Quantity')","('Sept 2012', 'CIF (Baht)')","('Jan - Sept 2012', 'Quantity')","('Jan - Sept 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,11000,781871
AT,AUSTRIA,0,0,115500,7950805
BE,BELGIUM,0,0,52800,5372556
CN,CHINA,0,0,669000,41838708
FI,FINLAND,2000,227376,16000,1799119
DE,GERMANY,0,0,11000,1085546
IN,INDIA,0,0,24000,1507013
JP,JAPAN,106000,8750842,1434000,120260370
KR,"KOREA,REPUBLIC OF",385000,25574192,3227025,214019461
MY,MALAYSIA,0,0,535000,34853963
NL,NETHERLANDS,33000,2416215,33000,2416215
PH,PHILIPPINES,0,0,500,82513
SA,SAUDI ARABIA,0,0,24750,1055526
SG,SINGAPORE,0,0,2900,241978
SE,SWEDEN,303050,24119378,1049300,89476371
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11000,934846
AE,UNITED ARAB EMIRATES,13000,628128,984450,47341800
GB,UNITED KINGDOM,157,15721,157,15721
US,UNITED STATES,227758,15515944,988401,76301021
VN,VIETNAM,65000,4354894,484175,30690572
SUM,SUM,1134965,81602690,9673958,678025975
