"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'CIF (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'CIF (Baht)')"
AU,AUSTRALIA,15,18428,1121,252375
AT,AUSTRIA,3,3116,918853,57508659
BE,BELGIUM,284520,19048562,2023002,129950280
BR,BRAZIL,0,0,11445,2025755
CA,CANADA,0,0,4000,595338
CN,CHINA,44555,3846634,879851,76651514
FR,FRANCE,200,36372,1489925,83573919
DE,GERMANY,11320,1230741,632577,49869649
HK,HONG KONG,0,0,0,5010
IN,INDIA,18,2603,542,141432
ID,INDONESIA,13583,1418447,78035,7681441
IL,ISRAEL,0,0,106,79606
IT,ITALY,0,0,47350,4592651
JP,JAPAN,627948,61445996,9482294,702560790
KR,"KOREA,REPUBLIC OF",895925,45590931,10205051,510269478
MY,MALAYSIA,48000,1987866,462448,20466248
NL,NETHERLANDS,73075,5271437,1122312,81751712
NO,NORWAY,0,258,5,1978
SA,SAUDI ARABIA,643500,28216729,4727260,207547789
SG,SINGAPORE,4310250,215860208,50630232,2421153597
ES,SPAIN,9625,813162,30553,2566979
SE,SWEDEN,18,39625,144,254973
TW,"TAIWAN, PROVINCE OF CHINA",125100,6575753,2145500,102398115
TH,THAILAND,0,0,30018,2361555
AE,UNITED ARAB EMIRATES,148275,6245378,3469368,150898438
GB,UNITED KINGDOM,0,0,1200,447409
US,UNITED STATES,67097,3733333,381257,35928442
SUM,SUM,7303027,401385579,88774449,4651535132
