"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'CIF (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'CIF (Baht)')"
AU,AUSTRALIA,39,70153,39,70153
BD,BANGLADESH,0,0,1,67
CN,CHINA,0,0,71767,3263901
DE,GERMANY,0,0,5,12475
IE,IRELAND,0,0,2,1374
JP,JAPAN,13542,1559564,76962,9386218
KR,"KOREA,REPUBLIC OF",0,0,233008,10500343
MY,MALAYSIA,0,0,10,1378
SG,SINGAPORE,15000,862162,166500,8628803
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,10114
US,UNITED STATES,0,0,151,66509
SUM,SUM,28581,2491879,548545,31941335
