"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'CIF (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,7,1737
CN,CHINA,2620,132512,70120,4232899
DE,GERMANY,0,0,24750,1594471
IL,ISRAEL,0,0,11180,823175
JP,JAPAN,4400,490675,40591,4137178
KR,"KOREA,REPUBLIC OF",0,0,36000,1760757
NL,NETHERLANDS,0,46645,49502,3282913
QA,QATAR,51000,2160032,178500,7788696
SA,SAUDI ARABIA,0,0,32000,1416940
SG,SINGAPORE,0,0,58,53320
CH,SWITZERLAND,0,1557,0,1557
TH,THAILAND,0,0,2250,359978
US,UNITED STATES,9072,2586893,18144,5209598
SUM,SUM,67092,5418314,463102,30663219
