"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'CIF (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,100,36618
CA,CANADA,0,0,3,6257
CN,CHINA,0,0,54020,7673175
DE,GERMANY,0,0,1128,221391
JP,JAPAN,0,0,4628,817689
KR,"KOREA,REPUBLIC OF",3,2075,3,2075
NL,NETHERLANDS,0,0,800,154830
SG,SINGAPORE,0,0,22050,4262447
CH,SWITZERLAND,0,0,3,27901
TH,THAILAND,0,0,571,456313
GB,UNITED KINGDOM,13,3546,13,3546
SUM,SUM,16,5621,83319,13662242
