"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'CIF (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'CIF (Baht)')"
BE,BELGIUM,11320,804015,23820,2059649
CA,CANADA,0,0,8000,1427296
CN,CHINA,92000,15152255,155700,25394954
DE,GERMANY,905,730917,905,730917
ID,INDONESIA,15000,1589759,25000,2647819
IT,ITALY,0,0,49500,3232498
JP,JAPAN,1226633,93998951,2291625,177475875
KR,"KOREA,REPUBLIC OF",320000,18674739,811650,47558071
MY,MALAYSIA,7385,668398,45510,3208184
NL,NETHERLANDS,99000,7448692,173250,13019447
SA,SAUDI ARABIA,123750,6574775,394600,20541146
SG,SINGAPORE,3966427,224557534,8830054,500832681
TW,"TAIWAN, PROVINCE OF CHINA",128020,7649989,391060,24188952
TH,THAILAND,2000,154768,2000,154768
AE,UNITED ARAB EMIRATES,110000,5822464,382250,19657556
US,UNITED STATES,10454,1156959,11980,1411656
VN,VIETNAM,12800,5498509,21800,9248368
SUM,SUM,6125694,390482724,13618704,852789837
