"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'CIF (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'CIF (Baht)')"
AU,AUSTRALIA,515610,17343846,1006970,32370715
AT,AUSTRIA,0,0,1098,405935
CN,CHINA,355359,27888081,2451503,133135347
DK,DENMARK,0,0,30,9523
FI,FINLAND,23375,1121329,23375,1121329
FR,FRANCE,0,0,2750,194001
DE,GERMANY,0,0,21355,1810135
IN,INDIA,89500,1919800,191135,3571723
ID,INDONESIA,35925,4312427,104250,10179811
IT,ITALY,0,0,4953,320109
JP,JAPAN,645093,50845080,2562011,178557954
KR,"KOREA,REPUBLIC OF",1071108,47625061,5540878,226440679
MY,MALAYSIA,40000,5320102,896449,43787831
MX,MEXICO,0,0,25,96070
NL,NETHERLANDS,0,0,159782,13450406
NZ,NEW ZEALAND,297,116434,912,478008
OM,OMAN,297125,8678726,693625,20575469
PL,POLAND,44317,741367,44317,741367
SA,SAUDI ARABIA,887750,28091758,6041250,186094891
SG,SINGAPORE,528790,31233946,1929636,114643935
CH,SWITZERLAND,0,0,100,28173
TW,"TAIWAN, PROVINCE OF CHINA",120550,5436429,1057226,43574367
TH,THAILAND,0,0,78000,2044308
AE,UNITED ARAB EMIRATES,915750,27200110,4284800,128902896
GB,UNITED KINGDOM,1000,725788,7000,1225198
US,UNITED STATES,1968,156195,15046,2130027
VN,VIETNAM,300,165834,77730,5255210
SUM,SUM,5573817,258922313,27196206,1151145417
