"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'CIF (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'CIF (Baht)')"
BD,BANGLADESH,0,0,37,6760
BE,BELGIUM,0,0,488475,44916219
BR,BRAZIL,0,0,11050,1327433
CA,CANADA,17000,2595196,51575,4089141
CN,CHINA,67453,3625964,1934330,82949664
DE,GERMANY,9000,1239327,19918,2804465
HK,HONG KONG,264,48536,313,88341
IN,INDIA,0,0,115,76058
ID,INDONESIA,0,0,20,1837
IT,ITALY,1375,247309,86176,12410677
JP,JAPAN,411632,44300252,3956532,422277235
KR,"KOREA,REPUBLIC OF",1460700,157247510,10637336,1202918656
MY,MALAYSIA,3800,730724,409294,25309612
NL,NETHERLANDS,0,0,73250,7513841
QA,QATAR,0,0,17000,961649
SA,SAUDI ARABIA,123750,11668698,940500,94686690
ES,SPAIN,0,0,53,30228
SE,SWEDEN,0,0,46200,2525812
TW,"TAIWAN, PROVINCE OF CHINA",587000,52010204,10099050,1076578910
GB,UNITED KINGDOM,0,0,105500,15816341
US,UNITED STATES,222705,14936295,798380,69450240
VN,VIETNAM,56000,1757335,300140,11326627
SUM,SUM,2960679,290407350,29975244,3078066436
