"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'CIF (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,37300,567802
BE,BELGIUM,0,0,24750,1253300
CN,CHINA,53,16266,50074,354718
ID,INDONESIA,60000,2452328,60000,2452328
JP,JAPAN,20501,971340,102126,5468800
KR,"KOREA,REPUBLIC OF",19400,1728742,76750,6647697
QA,QATAR,306000,11967974,408000,15421735
SA,SAUDI ARABIA,564600,21257419,1971300,73282569
CH,SWITZERLAND,0,0,0,709
TW,"TAIWAN, PROVINCE OF CHINA",6000,969613,432000,16362190
US,UNITED STATES,0,0,216,66014
SUM,SUM,976554,39363682,3162516,121877862
