"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2013', 'Quantity')","('Mar 2013', 'CIF (Baht)')","('Jan - Mar 2013', 'Quantity')","('Jan - Mar 2013', 'CIF (Baht)')"
AU,AUSTRALIA,936,232095,2311,333587
BE,BELGIUM,49470,2890361,252090,14121503
BR,BRAZIL,0,0,5500,409351
CN,CHINA,90800,5685792,171800,8491474
FR,FRANCE,50,32869,17925,2053847
DE,GERMANY,3795,4857857,18795,7878348
ID,INDONESIA,49500,2295151,123750,5537825
IT,ITALY,2750,535328,2750,535328
JP,JAPAN,1719893,91208866,5173480,286814276
KR,"KOREA,REPUBLIC OF",14025,686673,46305,2275268
KW,KUWAIT,99000,4381639,1311750,55083827
MY,MALAYSIA,420000,18266508,1508000,66314661
NL,NETHERLANDS,0,0,700,184375
QA,QATAR,2681940,122300829,7603488,343191029
SA,SAUDI ARABIA,2079000,91951053,5238500,226874091
SG,SINGAPORE,1231860,57492227,5072896,233605882
SE,SWEDEN,0,0,11000,811937
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2000,260927
TH,THAILAND,0,0,13322,911695
AE,UNITED ARAB EMIRATES,618750,28680286,2622750,113256266
GB,UNITED KINGDOM,0,0,9999,2072329
US,UNITED STATES,495075,23943832,951575,44756490
SUM,SUM,9556844,455441366,30160686,1415774316
