"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'CIF (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'CIF (Baht)')"
BR,BRAZIL,0,0,77,40185
KH,CAMBODIA,0,0,14,1400
CN,CHINA,0,0,1832,232872
ID,INDONESIA,0,0,120,799
JP,JAPAN,1490,399184,16227,2398540
KR,"KOREA,REPUBLIC OF",0,0,0,8876
SA,SAUDI ARABIA,74250,3926803,501500,26580682
ES,SPAIN,0,0,272250,14592274
TW,"TAIWAN, PROVINCE OF CHINA",0,0,3,1200
SUM,SUM,75740,4325987,792023,43856828
