"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'CIF (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'CIF (Baht)')"
AU,AUSTRALIA,4975,421958,64795,2809664
AT,AUSTRIA,120,122762,1695,396544
BE,BELGIUM,38560,6932700,1465171,84158060
BR,BRAZIL,30250,2750802,531875,43147483
CA,CANADA,0,0,51115,11199472
CN,CHINA,110200,4916457,970868,43020500
CR,COSTA RICA,0,0,172,41280
DK,DENMARK,0,0,1,459
FI,FINLAND,0,0,24750,1960189
FR,FRANCE,265020,15225976,1555310,87801569
DE,GERMANY,206785,14166009,2437103,178373565
HK,HONG KONG,0,0,23,33580
IN,INDIA,12100,949753,12100,949753
ID,INDONESIA,100,19504,69615,3953164
IT,ITALY,63360,4528826,255753,17530528
JP,JAPAN,1202853,67454966,15119837,795717142
KR,"KOREA,REPUBLIC OF",437025,18983387,7275912,348829417
KW,KUWAIT,321750,12472119,8464500,343089110
MY,MALAYSIA,250000,9906199,4526215,198405437
MX,MEXICO,0,0,500,153226
NL,NETHERLANDS,0,0,71503,4734694
NO,NORWAY,0,0,1580270,83549165
QA,QATAR,2446098,111547971,22934880,1030849813
SA,SAUDI ARABIA,1410750,56666815,19828500,853581097
SG,SINGAPORE,1139340,48460536,12486714,565302158
ES,SPAIN,0,0,27,15449
SE,SWEDEN,2750,290916,5500,565726
CH,SWITZERLAND,0,0,16640,774075
TW,"TAIWAN, PROVINCE OF CHINA",16000,769368,2660600,127088403
TH,THAILAND,57600,2244750,338666,13560019
AE,UNITED ARAB EMIRATES,1452450,57641105,14768911,626800379
GB,UNITED KINGDOM,0,0,100,11660
US,UNITED STATES,941865,40458683,11347046,506566636
VN,VIETNAM,0,0,1000,66386
SUM,SUM,10409951,476931562,128867667,5975035802
