"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'CIF (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'CIF (Baht)')"
BE,BELGIUM,74885,2734590,74885,2734590
BR,BRAZIL,1287025,58717988,1287025,58717988
CN,CHINA,58470,1708845,58470,1708845
FI,FINLAND,49500,2631745,49500,2631745
FR,FRANCE,1375,93991,1375,93991
DE,GERMANY,426315,23637653,426315,23637653
IN,INDIA,2055,174327,2055,174327
ID,INDONESIA,1000,539565,1000,539565
IT,ITALY,3000,994656,3000,994656
JP,JAPAN,216552,17635247,216552,17635247
KR,"KOREA,REPUBLIC OF",318490,13536449,318490,13536449
KW,KUWAIT,544500,14030965,544500,14030965
LU,LUXEMBOURG,30000,3015177,30000,3015177
MY,MALAYSIA,5538989,163305114,5538989,163305114
NL,NETHERLANDS,270120,14593304,270120,14593304
NO,NORWAY,51560,2514922,51560,2514922
PT,PORTUGAL,100,59370,100,59370
QA,QATAR,1020000,29019197,1020000,29019197
SA,SAUDI ARABIA,2966800,83139755,2966800,83139755
SG,SINGAPORE,2408475,77883539,2408475,77883539
CH,SWITZERLAND,720,122123,720,122123
TW,"TAIWAN, PROVINCE OF CHINA",17250,1436990,17250,1436990
AE,UNITED ARAB EMIRATES,396004,10702285,396004,10702285
GB,UNITED KINGDOM,20000,1573731,20000,1573731
US,UNITED STATES,609326,18574270,609326,18574270
VN,VIETNAM,39000,1889924,39000,1889924
SUM,SUM,16351511,544265722,16351511,544265722
