"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2022', 'Quantity')","('Sept 2022', 'CIF (Baht)')","('Jan - Sept 2022', 'Quantity')","('Jan - Sept 2022', 'CIF (Baht)')"
CN,CHINA,25,19534,36091,2897740
FR,FRANCE,3000,668700,12000,2614029
HK,HONG KONG,0,0,3,3182
IN,INDIA,0,0,51,4913
IL,ISRAEL,0,0,12000,1046847
JP,JAPAN,36546,5229619,369358,52201479
KR,"KOREA,REPUBLIC OF",44550,2935264,656994,38976598
MY,MALAYSIA,0,0,70,33996
OM,OMAN,0,0,49500,2434744
SG,SINGAPORE,3360,678780,131360,11424303
ES,SPAIN,0,0,25,46246
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11154,875461
AE,UNITED ARAB EMIRATES,0,0,100375,4082783
GB,UNITED KINGDOM,0,0,14,30695
US,UNITED STATES,10,7694,127,102267
SUM,SUM,87491,9539591,1379122,116775283
