"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'CIF (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'CIF (Baht)')"
BE,BELGIUM,44010,2363512,44010,2363512
CA,CANADA,17000,1359948,17000,1359948
CN,CHINA,23550,1780178,23550,1780178
IT,ITALY,23550,3158434,23550,3158434
JP,JAPAN,110218,7771892,110218,7771892
KR,"KOREA,REPUBLIC OF",228200,12372253,228200,12372253
MY,MALAYSIA,117120,4841260,117120,4841260
MX,MEXICO,8761,1716912,8761,1716912
SA,SAUDI ARABIA,123750,5971201,123750,5971201
CH,SWITZERLAND,20000,2567320,20000,2567320
TW,"TAIWAN, PROVINCE OF CHINA",49750,4899293,49750,4899293
US,UNITED STATES,27500,2452512,27500,2452512
VN,VIETNAM,30650,535995,30650,535995
SUM,SUM,824059,51790710,824059,51790710
