"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2012', 'Quantity')","('Mar 2012', 'CIF (Baht)')","('Jan - Mar 2012', 'Quantity')","('Jan - Mar 2012', 'CIF (Baht)')"
AU,AUSTRALIA,152845,7021970,303127,13661672
AT,AUSTRIA,8000,482849,8000,482849
BD,BANGLADESH,25,3874,25,3874
BE,BELGIUM,67900,4087395,344335,21292502
BR,BRAZIL,0,0,100,65485
CN,CHINA,755454,51655682,1757139,124934039
FI,FINLAND,0,0,44000,2630352
FR,FRANCE,48752,2945166,169752,9868040
DE,GERMANY,46451,2435599,107066,10746846
HK,HONG KONG,500,58408,1623,746092
IN,INDIA,16000,746480,48325,4197397
ID,INDONESIA,10284,1599409,46551,3660509
IT,ITALY,0,0,8800,1168936
JP,JAPAN,1306021,101104820,3027945,261222899
KR,"KOREA,REPUBLIC OF",1606391,93868790,5027037,282664802
KW,KUWAIT,0,0,24750,1105243
MY,MALAYSIA,166665,13439364,551345,39902581
NL,NETHERLANDS,1375,47167,268875,23991532
NZ,NEW ZEALAND,0,0,2750,179616
PH,PHILIPPINES,0,0,306000,12879086
PT,PORTUGAL,2000,65291,2000,65291
QA,QATAR,0,0,16500,741262
SA,SAUDI ARABIA,5258000,229699753,16708500,713291790
SG,SINGAPORE,506002,32267495,1948860,112262827
ES,SPAIN,0,0,27500,2995853
TW,"TAIWAN, PROVINCE OF CHINA",112000,5399886,167727,10175423
AE,UNITED ARAB EMIRATES,939750,39564391,2288727,95796814
US,UNITED STATES,458354,26136519,1406338,75258170
VN,VIETNAM,198855,9487004,488202,21684120
SUM,SUM,11661624,622117312,35101899,1847675902
