"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'CIF (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'CIF (Baht)')"
BE,BELGIUM,0,0,19000,2138734
CN,CHINA,0,0,0,2000
HK,HONG KONG,0,0,0,27700
JP,JAPAN,81600,9633664,293452,40907572
KR,"KOREA,REPUBLIC OF",0,9000,372105,16697405
MY,MALAYSIA,3000,253138,14000,1312892
QA,QATAR,33000,1720476,66000,3494943
SA,SAUDI ARABIA,0,0,300,33628
SG,SINGAPORE,5000,306397,17000,1081188
ES,SPAIN,0,0,83,49136
TW,"TAIWAN, PROVINCE OF CHINA",0,0,105700,7494335
US,UNITED STATES,0,0,8,6842
SUM,SUM,122600,11922675,887648,73246375
