"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'CIF (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'CIF (Baht)')"
AU,AUSTRALIA,2245,252503,18385,1493444
BE,BELGIUM,30750,2174821,32150,2394129
BR,BRAZIL,445700,33216702,842400,63286962
CA,CANADA,0,0,24750,1146388
CN,CHINA,52050,4078595,80350,9789393
DE,GERMANY,403714,33546567,713324,57814986
IN,INDIA,0,0,8,1389
ID,INDONESIA,2500,1296582,10000,5245063
IL,ISRAEL,9600,1101525,9600,1101525
IT,ITALY,9671,3751903,10921,4359903
JP,JAPAN,186744,17921252,466932,41057520
KR,"KOREA,REPUBLIC OF",268760,14719841,534765,29412033
KW,KUWAIT,693000,29457353,1584000,69398639
LU,LUXEMBOURG,8750,1994141,8750,1994141
MY,MALAYSIA,4179841,217067494,8984373,482287121
NL,NETHERLANDS,102520,8098150,538150,40172203
NO,NORWAY,111530,8872852,172160,14586744
OM,OMAN,272250,11246132,272250,11246132
QA,QATAR,1096500,55639931,1938000,97926126
SA,SAUDI ARABIA,2330340,115210595,4954590,243290937
SG,SINGAPORE,1984750,111646954,3871125,220197123
CH,SWITZERLAND,0,0,1,2325
TW,"TAIWAN, PROVINCE OF CHINA",150,41457,18693,3102263
TH,THAILAND,0,0,30,11124
AE,UNITED ARAB EMIRATES,297000,14111552,668250,32044490
GB,UNITED KINGDOM,14,68196,16,93078
US,UNITED STATES,154196,13808411,417051,28658074
VN,VIETNAM,12000,1821864,52000,4008715
SUM,SUM,12654575,701145373,26223024,1466121970
