"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'CIF (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'CIF (Baht)')"
CZ,CZECH REPUBLIC,0,0,44,54648
FI,FINLAND,0,0,17,9244
FR,FRANCE,500,103324,1000,206648
HK,HONG KONG,0,0,25,5890
IN,INDIA,305,48575,330,53522
IT,ITALY,0,0,6000,818821
JP,JAPAN,13505,1873085,167464,23314973
KR,"KOREA,REPUBLIC OF",0,0,86346,4456965
MY,MALAYSIA,1000,97582,3000,272807
QA,QATAR,33000,1578702,148500,6308781
SG,SINGAPORE,1500,718370,11475,1717302
TW,"TAIWAN, PROVINCE OF CHINA",0,0,32010,1813767
TH,THAILAND,2400,160383,2400,160383
AE,UNITED ARAB EMIRATES,1375,62805,1375,62805
VN,VIETNAM,0,0,16495,565955
SUM,SUM,53585,4642826,476481,39822511
