"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'CIF (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'CIF (Baht)')"
BR,BRAZIL,0,0,1510,567387
CN,CHINA,0,0,13184,1308871
FR,FRANCE,3350,817340,42572,4471655
DE,GERMANY,0,0,11177,3518641
JP,JAPAN,25100,1958909,299394,23162326
KR,"KOREA,REPUBLIC OF",125110,9244086,983238,77037298
RU,RUSSIAN FEDERATION,3375,728129,6750,1469879
SG,SINGAPORE,360,40061,360,40061
TW,"TAIWAN, PROVINCE OF CHINA",2000,178165,4000,356545
GB,UNITED KINGDOM,0,0,180,55998
US,UNITED STATES,362,45708,724,91956
SUM,SUM,159657,13012398,1363089,112080617
