"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2017', 'Quantity')","('Dec 2017', 'CIF (Baht)')","('Jan - Dec 2017', 'Quantity')","('Jan - Dec 2017', 'CIF (Baht)')"
AU,AUSTRALIA,4000,529834,4105,572018
AT,AUSTRIA,0,0,24750,1379852
BE,BELGIUM,49500,3083198,361764,22290903
BR,BRAZIL,917750,45975821,10596396,543421932
CN,CHINA,37780,2803047,357317,21422799
DK,DENMARK,0,0,0,210
FI,FINLAND,49500,2884577,1064225,59563627
FR,FRANCE,0,0,66,38349
DE,GERMANY,300773,21102732,4033661,264018880
HK,HONG KONG,0,0,29,101772
IN,INDIA,1355,186064,9806,751883
ID,INDONESIA,2950,502628,245145,23179293
IR,IRAN (ISLAMIC REPUBLIC OF),44,5570,44,5570
IL,ISRAEL,0,0,102600,8394927
IT,ITALY,0,0,26,19614
JP,JAPAN,235595,20446077,3121888,245689415
KR,"KOREA,REPUBLIC OF",262500,13447782,3574332,197572880
KW,KUWAIT,396000,15962416,4232250,170390924
LA,LAO PDR,0,0,27500,1292500
MY,MALAYSIA,3012610,128091503,38577405,1730953061
MX,MEXICO,0,396,99000,4598437
NL,NETHERLANDS,0,0,2916305,177578023
NO,NORWAY,0,0,52250,3034899
PH,PHILIPPINES,0,230,0,230
PL,POLAND,0,0,12,10297
QA,QATAR,612000,25920127,8771526,376264766
SA,SAUDI ARABIA,1961100,80866210,31051223,1330252566
SG,SINGAPORE,2448499,113891130,29591191,1433278460
ZA,SOUTH AFRICA,0,0,99000,4057657
ES,SPAIN,34600,2880637,324216,27736136
SE,SWEDEN,0,0,21007,1025502
CH,SWITZERLAND,0,0,4710,883882
TW,"TAIWAN, PROVINCE OF CHINA",0,0,50412,3691188
TH,THAILAND,0,0,31450,1671584
TR,TÜRKIYE,0,0,100,41601
AE,UNITED ARAB EMIRATES,216170,6717246,2284834,75809906
GB,UNITED KINGDOM,0,0,20455,3474331
US,UNITED STATES,89324,6844256,1312981,105187969
VN,VIETNAM,4000,508840,97566,8735672
SUM,SUM,10636050,492650321,143061547,6848393515
