"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2021', 'Quantity')","('Mar 2021', 'CIF (Baht)')","('Jan - Mar 2021', 'Quantity')","('Jan - Mar 2021', 'CIF (Baht)')"
CN,CHINA,5,1604,6992,660586
FR,FRANCE,3000,578684,7500,1448251
IN,INDIA,0,0,1,65
IL,ISRAEL,24000,1452835,48000,2830291
IT,ITALY,0,0,1,37689
JP,JAPAN,52894,7095386,105399,14113250
KR,"KOREA,REPUBLIC OF",72100,3506823,384600,16892211
MX,MEXICO,0,0,734,33375
QA,QATAR,17000,759384,17000,759384
SG,SINGAPORE,21000,1233283,21000,1233283
GB,UNITED KINGDOM,9375,2314325,10375,2558604
US,UNITED STATES,0,0,1575,130727
SUM,SUM,199374,16942324,603177,40697716
