"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'CIF (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'CIF (Baht)')"
AU,AUSTRALIA,16250,908258,32500,1702525
BE,BELGIUM,4780,1402390,40695,6192038
CN,CHINA,82175,6791915,252620,22872567
FR,FRANCE,4075,520828,4100,530395
DE,GERMANY,300,58699,58283,4035946
HK,HONG KONG,0,0,5644,647232
IN,INDIA,0,0,725,123984
ID,INDONESIA,4275,615588,35985,3705052
IT,ITALY,0,0,220000,15026714
JP,JAPAN,1337751,94075245,5381230,415095221
KR,"KOREA,REPUBLIC OF",1205900,72907742,5968250,335763630
MY,MALAYSIA,148911,7496808,626261,30597369
NL,NETHERLANDS,82500,5968283,407100,28007926
SA,SAUDI ARABIA,470250,22924416,1814850,82835293
SG,SINGAPORE,4475950,240469178,19887234,1029485003
CH,SWITZERLAND,0,0,3,12773
TW,"TAIWAN, PROVINCE OF CHINA",656030,36547848,1516740,84831418
AE,UNITED ARAB EMIRATES,247500,11849586,1336500,58278290
GB,UNITED KINGDOM,0,0,17100,2119308
US,UNITED STATES,58000,6008044,434108,35972066
SUM,SUM,8794647,508544828,38039928,2157834750
