"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'CIF (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,11000,677596
AT,AUSTRIA,0,0,19200,2333056
BE,BELGIUM,50750,4545036,241751,22454409
CA,CANADA,6125,1685949,18225,5080431
CN,CHINA,721208,30687301,4773148,198752791
DK,DENMARK,0,0,0,2609
FR,FRANCE,0,0,12300,1483302
DE,GERMANY,3879,794239,133413,12118330
HK,HONG KONG,0,0,150,34350
IN,INDIA,0,0,31025,2980751
ID,INDONESIA,0,0,255,105027
IT,ITALY,0,0,6630,2893669
JP,JAPAN,357762,45631933,2037597,233366488
KR,"KOREA,REPUBLIC OF",215300,12637717,1547385,84677264
KW,KUWAIT,0,0,200,109520
MY,MALAYSIA,201860,9541223,698935,34664489
NL,NETHERLANDS,401,93540,13911,2008572
QA,QATAR,0,0,229500,8719495
SA,SAUDI ARABIA,87250,3631790,444000,18052816
SG,SINGAPORE,1742555,80966663,14044486,638215740
ES,SPAIN,8800,696144,70400,5025322
SE,SWEDEN,5,1597,5,1597
TW,"TAIWAN, PROVINCE OF CHINA",22000,1711763,129065,11593731
TH,THAILAND,0,0,9500,836964
AE,UNITED ARAB EMIRATES,74250,2922177,1770260,71656106
GB,UNITED KINGDOM,5500,622205,20560,3960217
US,UNITED STATES,282616,38057196,1441737,201132420
VN,VIETNAM,0,0,27839,1416270
SUM,SUM,3780261,234226473,27732477,1564353332
