"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'CIF (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'CIF (Baht)')"
CA,CANADA,0,0,100,5308
CN,CHINA,0,0,6295,556324
DE,GERMANY,0,0,1000,187887
JP,JAPAN,15100,1805751,38500,3573919
KR,"KOREA,REPUBLIC OF",0,0,150,24839
MY,MALAYSIA,96000,3023968,96000,3023968
NL,NETHERLANDS,134750,5343708,156750,6263806
SA,SAUDI ARABIA,0,0,148500,4321565
SG,SINGAPORE,1253570,58232171,2280720,106352520
ES,SPAIN,85800,5393096,112200,6986513
AE,UNITED ARAB EMIRATES,1308750,33722044,1630500,42268307
US,UNITED STATES,1614675,52643806,3576194,116664355
SUM,SUM,4508645,160164544,8046909,290229311
