"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'CIF (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'CIF (Baht)')"
BR,BRAZIL,308,225904,1968,1571012
CN,CHINA,3100,286126,18350,1671322
FR,FRANCE,25,25087,234667,12946842
DE,GERMANY,1,754,4560,723090
IN,INDIA,0,0,14400,750380
JP,JAPAN,42444,3018241,366897,27074172
KR,"KOREA,REPUBLIC OF",57600,3637533,1136380,68921746
MY,MALAYSIA,0,0,100,4327
RU,RUSSIAN FEDERATION,0,0,18000,4003967
SG,SINGAPORE,0,0,442,360127
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1025,103231
TH,THAILAND,0,0,4975,567198
US,UNITED STATES,48,27298,4025,1064132
SUM,SUM,103526,7220943,1805789,119761546
