"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'CIF (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'CIF (Baht)')"
BE,BELGIUM,0,0,24750,1279515
BR,BRAZIL,448300,17305522,608050,25566758
CA,CANADA,92150,2168542,116650,2935163
CN,CHINA,60042,5281040,116915,9649620
FI,FINLAND,0,0,49400,2456859
FR,FRANCE,22000,1635120,22000,1635120
DE,GERMANY,270857,16913671,428950,27146511
ID,INDONESIA,1600,620395,4975,882662
IT,ITALY,7251,1440910,12516,2347150
JP,JAPAN,165266,12350588,354829,26709005
KR,"KOREA,REPUBLIC OF",366350,15921970,668370,28860679
KW,KUWAIT,940500,30063954,1534500,47520726
LU,LUXEMBOURG,6250,597179,13750,1309721
MY,MALAYSIA,4535732,200708810,7171672,311705056
NL,NETHERLANDS,253715,12409120,562995,28842476
NO,NORWAY,17740,804684,106560,5657372
QA,QATAR,1453500,55650601,2550000,93507534
SA,SAUDI ARABIA,3851950,145560597,6857300,255110162
SG,SINGAPORE,1609000,71534691,3717500,156714007
SI,SLOVENIA,0,0,1,973
ES,SPAIN,60710,4039514,79885,5325061
TW,"TAIWAN, PROVINCE OF CHINA",2553,307658,18853,1725336
AE,UNITED ARAB EMIRATES,866250,33178874,1138500,43175553
GB,UNITED KINGDOM,0,0,22500,1807904
US,UNITED STATES,234510,12955032,459106,23446007
VN,VIETNAM,122900,6416795,198900,11602881
SUM,SUM,15389126,647865267,26839427,1116919811
