"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2017', 'Quantity')","('Feb 2017', 'CIF (Baht)')","('Jan - Feb 2017', 'Quantity')","('Jan - Feb 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1000,132429
AT,AUSTRIA,525,171635,760,250417
BE,BELGIUM,65500,5115901,76750,6968464
CA,CANADA,0,0,1660,529406
CN,CHINA,395344,21135527,899544,43022839
FR,FRANCE,1375,173660,2782,700553
DE,GERMANY,23670,2377548,24576,2711872
HK,HONG KONG,0,0,0,2160
IN,INDIA,51500,1610266,85100,3939932
ID,INDONESIA,440,20954,440,20954
IT,ITALY,50,23930,2850,1104846
JP,JAPAN,298796,38008201,546937,64049236
KR,"KOREA,REPUBLIC OF",264022,14275736,470322,25693510
MY,MALAYSIA,60000,3596681,120660,7326933
NL,NETHERLANDS,25,50160,45,61494
QA,QATAR,408000,16691019,816050,33758056
SA,SAUDI ARABIA,231750,10347215,488250,21633620
SG,SINGAPORE,2231525,108480585,4562525,220174337
ES,SPAIN,29975,2751488,29975,2751488
TW,"TAIWAN, PROVINCE OF CHINA",50023,2661209,166563,10576744
UA,UKRAINE,0,0,24400,1118207
AE,UNITED ARAB EMIRATES,49500,2169029,147480,5751988
GB,UNITED KINGDOM,0,0,1600,453048
US,UNITED STATES,237154,41616655,612358,73552150
VN,VIETNAM,33,6365,113,22629
SUM,SUM,4399207,271283764,9082740,526307312
