"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2019', 'Quantity')","('Oct 2019', 'CIF (Baht)')","('Jan - Oct 2019', 'Quantity')","('Jan - Oct 2019', 'CIF (Baht)')"
AU,AUSTRALIA,68640,1837011,99530,3234073
AT,AUSTRIA,0,0,715,304863
BE,BELGIUM,156600,5820177,855385,39422130
BR,BRAZIL,24750,1823651,519125,45041920
CA,CANADA,0,0,341008,15185364
CN,CHINA,191130,9195980,725616,35659346
CZ,CZECH REPUBLIC,2,722,60,21456
FI,FINLAND,0,0,307025,16898654
FR,FRANCE,89030,4408072,1172475,61277509
GE,GEORGIA,0,0,8250,720286
DE,GERMANY,13889,3297602,1024377,94047953
HK,HONG KONG,0,0,3,2329
IN,INDIA,208750,6203816,243801,7589194
ID,INDONESIA,25,10555,5325,228816
IT,ITALY,181735,9745742,1446997,78316294
JP,JAPAN,1028472,52542541,10630158,580665284
KR,"KOREA,REPUBLIC OF",683055,22640068,4919901,188022312
KW,KUWAIT,544500,15409820,5395500,176756656
LA,LAO PDR,0,0,2,4500
MY,MALAYSIA,494523,16018508,11566245,423542056
NL,NETHERLANDS,0,0,1135,206245
NO,NORWAY,0,0,19,4760
PH,PHILIPPINES,0,0,507,27485
QA,QATAR,1401820,43389531,17481660,614343838
SA,SAUDI ARABIA,1782875,51022138,18070775,607429680
SG,SINGAPORE,1954218,59623830,20756267,723682719
ES,SPAIN,0,0,33040,1354071
CH,SWITZERLAND,0,0,100,29211
TW,"TAIWAN, PROVINCE OF CHINA",185000,7036407,3027310,119031983
TH,THAILAND,0,0,108618,4199544
AE,UNITED ARAB EMIRATES,422725,12194262,11725845,414439465
GB,UNITED KINGDOM,0,0,485,239576
US,UNITED STATES,2926812,88897460,16567966,1206670490
VN,VIETNAM,0,0,25,3606
SUM,SUM,12358551,411117893,127035250,5458603668
