"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2013', 'Quantity')","('Sept 2013', 'CIF (Baht)')","('Jan - Sept 2013', 'Quantity')","('Jan - Sept 2013', 'CIF (Baht)')"
AU,AUSTRALIA,30,11870,227037,10935118
AT,AUSTRIA,0,0,3,2512
BE,BELGIUM,184750,14535728,1047775,72100903
CA,CANADA,0,0,20,13799
CN,CHINA,1182535,80557474,9655032,635540988
CO,COLOMBIA,0,0,86968,1300303
CZ,CZECH REPUBLIC,0,0,23375,1593647
FI,FINLAND,23375,1578831,159500,10388403
FR,FRANCE,45000,1832369,718851,41459279
DE,GERMANY,27931,5093667,258326,42110270
HK,HONG KONG,0,0,16864,986804
IN,INDIA,18975,413664,46233,1938092
ID,INDONESIA,18775,2637697,124729,16542019
IL,ISRAEL,0,0,17500,1695506
IT,ITALY,6000,1030283,15810,2453129
JP,JAPAN,1272594,97969008,8499662,690611963
KP,KOREA DPR,0,0,82000,4350948
KR,"KOREA,REPUBLIC OF",2283106,140313658,21753452,1237934826
KW,KUWAIT,99000,4729532,148500,6836895
MY,MALAYSIA,63729,10021825,837840,104983681
MX,MEXICO,0,0,45,14428
NL,NETHERLANDS,49500,4399857,613300,52142057
NZ,NEW ZEALAND,0,0,8750,564857
PT,PORTUGAL,0,0,1216,91344
SA,SAUDI ARABIA,4213900,198673236,33808430,1521467960
SG,SINGAPORE,1590010,90195796,14247868,758897378
ES,SPAIN,0,0,79750,8818261
CH,SWITZERLAND,0,0,101,474851
TW,"TAIWAN, PROVINCE OF CHINA",195870,9933166,1759201,89177666
TH,THAILAND,0,0,162,26609
TR,TÜRKIYE,0,0,6525,752178
AE,UNITED ARAB EMIRATES,159500,7704985,894130,40992476
GB,UNITED KINGDOM,0,0,2092,332439
US,UNITED STATES,242127,13539749,2776578,148375951
VN,VIETNAM,3419,838789,19545,3989943
SUM,SUM,11680126,686011184,97937170,5509897483
