"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'CIF (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'CIF (Baht)')"
AU,AUSTRALIA,14479,1093048,29327,2012748
BE,BELGIUM,298025,11780941,1298650,52722637
BR,BRAZIL,0,0,425,54004
CA,CANADA,0,0,125050,4051049
CN,CHINA,54000,3567925,831850,54929658
FR,FRANCE,0,0,22000,1735056
ID,INDONESIA,133000,5369760,538175,31647444
IL,ISRAEL,5,3407,22116,1704463
JP,JAPAN,35425,3809487,2419047,134575865
KR,"KOREA,REPUBLIC OF",26100,1064931,406800,16157921
KW,KUWAIT,222750,6290344,1930500,61090857
MY,MALAYSIA,22500,738150,503500,17834001
NL,NETHERLANDS,0,0,140000,5768277
QA,QATAR,306000,8831200,2754000,88070756
SA,SAUDI ARABIA,3505050,108742266,26063650,873051208
SG,SINGAPORE,412750,14639518,4684475,175055771
ZA,SOUTH AFRICA,0,0,420750,13736419
ES,SPAIN,20000,756063,168500,6056843
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10,2432
AE,UNITED ARAB EMIRATES,668250,20504429,6505750,225084237
US,UNITED STATES,1841925,58269303,6568777,232700544
VN,VIETNAM,0,0,50,1338
SUM,SUM,7560259,245460772,55433402,1998043528
