"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2016', 'Quantity')","('Nov 2016', 'CIF (Baht)')","('Jan - Nov 2016', 'Quantity')","('Jan - Nov 2016', 'CIF (Baht)')"
AT,AUSTRIA,300,96857,14827,2115424
BD,BANGLADESH,0,0,27,8964
BE,BELGIUM,117392,9514748,781250,64791483
BR,BRAZIL,0,0,50,22296
KH,CAMBODIA,14,3234,20,4782
CA,CANADA,2250,739512,41025,10980301
CN,CHINA,484904,23535859,5166365,239418388
EG,EGYPT,210,21882,1814,193125
FR,FRANCE,22200,1857810,56425,5413091
DE,GERMANY,2537,787489,812805,55228295
HK,HONG KONG,27,12685,464,323029
IN,INDIA,10750,1069548,197769,11597290
ID,INDONESIA,10,2830,244,202015
IL,ISRAEL,0,0,9600,772042
IT,ITALY,2400,991700,23365,7674677
JP,JAPAN,367166,42334067,4491085,489728600
KR,"KOREA,REPUBLIC OF",404475,18905323,2219641,107896309
LU,LUXEMBOURG,0,0,1500,511377
MY,MALAYSIA,100719,6102612,591173,36670527
NL,NETHERLANDS,0,0,41036,5692456
NZ,NEW ZEALAND,0,0,1700,438589
PH,PHILIPPINES,0,0,1100,8710
QA,QATAR,408000,16366782,4921500,199716980
SA,SAUDI ARABIA,825775,34546809,6974800,293578710
SG,SINGAPORE,2901421,143887303,23323262,1228553061
ES,SPAIN,8800,585251,370291,28406123
CH,SWITZERLAND,0,2566,10064,1167301
TW,"TAIWAN, PROVINCE OF CHINA",120000,5517839,1477327,75300212
TH,THAILAND,1100,82861,19141,1242071
UG,UGANDA,0,0,1905,330681
UA,UKRAINE,0,0,184050,8981087
AE,UNITED ARAB EMIRATES,420750,17516101,4177250,169433005
GB,UNITED KINGDOM,1500,350651,12505,3232182
US,UNITED STATES,669301,79803925,6271317,638401483
VN,VIETNAM,150,31283,11935,714887
SUM,SUM,6872151,404667527,62208632,3688749553
