"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'CIF (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,800,229461
AT,AUSTRIA,215,344887,918,1116110
BE,BELGIUM,11026,600038,15700,1442913
BR,BRAZIL,191,69868,1337,486587
CA,CANADA,20,267906,10187,3193258
CN,CHINA,77314,4599901,1002337,50476327
FR,FRANCE,52217,3518221,249916,18052077
DE,GERMANY,1975,734543,30621,8132741
IN,INDIA,10000,857205,149020,9487039
ID,INDONESIA,542,50369,47382,4443787
IT,ITALY,0,0,4333,573236
JP,JAPAN,366700,41941523,1833362,262048817
KR,"KOREA,REPUBLIC OF",207450,11233454,1524447,88074284
LU,LUXEMBOURG,0,0,20,13769
MY,MALAYSIA,169325,15480866,1134333,98885867
NL,NETHERLANDS,129975,11340287,623887,54979377
NZ,NEW ZEALAND,0,0,220,174581
NO,NORWAY,202,104009,202,104009
PH,PHILIPPINES,0,0,25,31279
SA,SAUDI ARABIA,420750,15348142,3972200,152900915
SG,SINGAPORE,32480,2899864,406380,50217376
ZA,SOUTH AFRICA,198000,7305593,297000,11389329
ES,SPAIN,21450,1867464,53410,4730929
CH,SWITZERLAND,0,0,1100,784310
TW,"TAIWAN, PROVINCE OF CHINA",1519,578741,679016,36764860
GB,UNITED KINGDOM,450,94187,38443,4889685
US,UNITED STATES,156523,29795313,1252561,222826229
VN,VIETNAM,8000,655247,62021,5160433
SUM,SUM,1866324,149687628,13391178,1091609585
