"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'CIF (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'CIF (Baht)')"
BD,BANGLADESH,100,16769,100,16769
BE,BELGIUM,53025,2635582,53025,2635582
CA,CANADA,17000,1379910,17000,1379910
CN,CHINA,136464,4383340,136464,4383340
IT,ITALY,44980,3383531,44980,3383531
JP,JAPAN,227276,13984884,227276,13984884
KR,"KOREA,REPUBLIC OF",1557800,78209308,1557800,78209308
MY,MALAYSIA,29600,1943631,29600,1943631
SA,SAUDI ARABIA,396000,19018123,396000,19018123
TW,"TAIWAN, PROVINCE OF CHINA",188504,9661787,188504,9661787
US,UNITED STATES,67562,7457113,67562,7457113
VN,VIETNAM,3480,218065,3480,218065
SUM,SUM,2721791,142292043,2721791,142292043
