"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'CIF (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'CIF (Baht)')"
CN,CHINA,46500,3014174,421700,28045035
IN,INDIA,0,0,100,3904
JP,JAPAN,600,37544,53300,3096415
KR,"KOREA,REPUBLIC OF",0,0,3975,209748
NL,NETHERLANDS,0,0,78,51774
SA,SAUDI ARABIA,0,0,618750,20995835
SG,SINGAPORE,306000,10897991,559500,19813202
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2050,190082
US,UNITED STATES,11431,1082084,22862,2195947
VN,VIETNAM,0,0,200,9763
SUM,SUM,364531,15031793,1682515,74611705
