"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'CIF (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,406,123335
AT,AUSTRIA,0,0,1453,2146312
BE,BELGIUM,240,59620,19092,2554575
BZ,BELIZE,0,0,191,65750
BR,BRAZIL,382,142062,3667,899821
CA,CANADA,14,209180,165,1735071
CN,CHINA,163177,8370658,1507617,86337664
FR,FRANCE,60640,2665887,201375,11659671
DE,GERMANY,17497,3520637,173341,36801240
HK,HONG KONG,100002,8071047,873401,73412208
IN,INDIA,0,0,828,233875
ID,INDONESIA,31,9011,666,374747
IL,ISRAEL,0,0,2060,63418
IT,ITALY,0,0,4140,407530
JP,JAPAN,155716,28107002,1626804,255973217
KR,"KOREA,REPUBLIC OF",443800,21179502,3997265,193582121
LU,LUXEMBOURG,0,0,415,39834
MY,MALAYSIA,112700,6671614,927134,57356184
NL,NETHERLANDS,13946,1642682,347641,30422869
NO,NORWAY,0,0,2,358
PH,PHILIPPINES,1,776,1,776
SA,SAUDI ARABIA,420750,12806758,1570660,48405422
SG,SINGAPORE,75892,8043615,409087,42701615
CH,SWITZERLAND,0,0,350,436475
TW,"TAIWAN, PROVINCE OF CHINA",600,85081,117443,11604580
TH,THAILAND,0,0,10150,807235
AE,UNITED ARAB EMIRATES,594000,18988339,4900375,159631696
GB,UNITED KINGDOM,0,0,20978,3030350
US,UNITED STATES,129466,20015313,806765,123631868
VN,VIETNAM,0,0,32850,2403960
SUM,SUM,2288854,140588784,17556322,1146843777
