"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'CIF (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'CIF (Baht)')"
BE,BELGIUM,24750,1370352,198008,9603266
CA,CANADA,0,0,13,44013
CN,CHINA,32,35241,127709,7152314
CZ,CZECH REPUBLIC,1,36799,1,36799
DK,DENMARK,0,0,70,1
FR,FRANCE,4,3124,14,36048
DE,GERMANY,22,26710,4162,485545
IN,INDIA,0,0,5,11121
IT,ITALY,0,0,0,1607
JP,JAPAN,57528,1446394,120163,6064908
KR,"KOREA,REPUBLIC OF",9,22524,9,22524
MY,MALAYSIA,0,0,2632,710387
MZ,MOZAMBIQUE,129,209748,129,209748
SA,SAUDI ARABIA,0,0,145350,6092852
SG,SINGAPORE,1,2706,8454,701861
ES,SPAIN,0,0,4,1802
CH,SWITZERLAND,3,25623,3,25623
TW,"TAIWAN, PROVINCE OF CHINA",0,0,66105,6688956
TH,THAILAND,0,0,25,6377
AE,UNITED ARAB EMIRATES,0,0,123750,4991487
GB,UNITED KINGDOM,3,2554,119,123113
US,UNITED STATES,49,164358,105775,5043564
VN,VIETNAM,8,4343,29283,1434514
SUM,SUM,82539,3350476,931783,49488430
