"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2018', 'Quantity')","('Apr 2018', 'CIF (Baht)')","('Jan - Apr 2018', 'Quantity')","('Jan - Apr 2018', 'CIF (Baht)')"
CA,CANADA,0,0,600,107681
CN,CHINA,0,0,26406,1789062
FR,FRANCE,0,0,1100,193189
HK,HONG KONG,0,0,29,11917
IN,INDIA,0,0,6,2877
JP,JAPAN,3750,501280,63827,6536072
KR,"KOREA,REPUBLIC OF",0,0,24000,1682977
SG,SINGAPORE,99000,4284200,321877,13621831
AE,UNITED ARAB EMIRATES,0,0,39000,1895060
GB,UNITED KINGDOM,0,0,5,2735
US,UNITED STATES,12701,1235855,16081,1659618
SUM,SUM,115451,6021335,492931,27503019
