"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2021', 'Quantity')","('Sept 2021', 'CIF (Baht)')","('Jan - Sept 2021', 'Quantity')","('Jan - Sept 2021', 'CIF (Baht)')"
BD,BANGLADESH,22,6590,22,6590
BE,BELGIUM,0,0,7800,550188
CN,CHINA,24000,1922993,57823,4507841
FR,FRANCE,0,0,25,25328
IT,ITALY,225,75648,225,75648
KR,"KOREA,REPUBLIC OF",116600,10806087,1278000,97985381
MY,MALAYSIA,0,0,13750,1671746
SG,SINGAPORE,5000,5566723,8780,9350204
GB,UNITED KINGDOM,11000,879532,48150,3689472
US,UNITED STATES,0,0,12701,1520103
VN,VIETNAM,0,0,3360,313488
SUM,SUM,156847,19257573,1430636,119695989
