"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'CIF (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'CIF (Baht)')"
CN,CHINA,306,17296,36934,2954369
FR,FRANCE,500,115190,15000,3304699
HK,HONG KONG,0,0,30,8590
IN,INDIA,0,0,61,5849
IL,ISRAEL,12000,824640,24000,1871487
JP,JAPAN,37315,5528392,491414,71855112
KR,"KOREA,REPUBLIC OF",152400,8476088,1240394,74808192
MY,MALAYSIA,0,0,70,33996
OM,OMAN,0,0,49500,2434744
SG,SINGAPORE,0,0,220740,17348676
SK,SLOVAKIA,50,51150,50,51150
ES,SPAIN,0,0,50,93532
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11154,875461
TH,THAILAND,0,0,25,4869
AE,UNITED ARAB EMIRATES,0,0,100375,4082783
GB,UNITED KINGDOM,2000,686861,2014,717556
US,UNITED STATES,0,0,297,161107
SUM,SUM,204571,15699617,2192108,180612172
