"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2013', 'Quantity')","('Mar 2013', 'CIF (Baht)')","('Jan - Mar 2013', 'Quantity')","('Jan - Mar 2013', 'CIF (Baht)')"
BR,BRAZIL,0,0,1600,234323
CN,CHINA,900,106054,900,106054
FR,FRANCE,4741,743670,7959,1339476
DE,GERMANY,175,39698,5328,1575840
JP,JAPAN,5822,1089240,40314,5147027
KR,"KOREA,REPUBLIC OF",197975,12524517,638515,37772349
MY,MALAYSIA,0,0,0,2500
RU,RUSSIAN FEDERATION,0,0,3375,691081
TW,"TAIWAN, PROVINCE OF CHINA",0,0,0,5800
US,UNITED STATES,1469,580233,1632,656624
SUM,SUM,211082,15083412,699623,47531074
