"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'CIF (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'CIF (Baht)')"
BE,BELGIUM,0,0,19000,2138734
HK,HONG KONG,0,0,0,1300
JP,JAPAN,44134,6824011,136098,20370817
KR,"KOREA,REPUBLIC OF",143200,6302189,325105,14424693
MY,MALAYSIA,0,0,4000,419201
QA,QATAR,16500,881918,16500,881918
SA,SAUDI ARABIA,0,0,300,33628
SG,SINGAPORE,0,0,12000,774791
ES,SPAIN,83,49136,83,49136
TW,"TAIWAN, PROVINCE OF CHINA",18000,772415,86700,6256041
US,UNITED STATES,8,6842,8,6842
SUM,SUM,221925,14836511,599794,45357101
