"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'CIF (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'CIF (Baht)')"
BE,BELGIUM,131925,8280190,418425,28860782
BR,BRAZIL,0,0,1000,151504
CA,CANADA,0,0,17000,1444561
CN,CHINA,6300,280937,132255,7566789
FR,FRANCE,0,0,11000,933832
DE,GERMANY,10000,986230,20100,2019005
HK,HONG KONG,0,0,12100,819823
ID,INDONESIA,0,0,288,1758
IT,ITALY,0,0,73360,11055529
JP,JAPAN,103025,7140889,697844,52119135
KR,"KOREA,REPUBLIC OF",160000,9843795,687516,43506569
MY,MALAYSIA,157595,9357468,680735,32671010
NL,NETHERLANDS,0,0,2750,293198
SG,SINGAPORE,0,0,59906,3423097
ES,SPAIN,0,0,29,6676
TW,"TAIWAN, PROVINCE OF CHINA",139500,9068536,485857,31590783
TH,THAILAND,0,0,40647,2465512
TR,TÜRKIYE,0,0,290,32829
GB,UNITED KINGDOM,0,0,165,13511
US,UNITED STATES,48733,7512175,168183,23516819
VN,VIETNAM,53320,999658,297347,5161904
SUM,SUM,810398,53469878,3806797,247654626
