"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2016', 'Quantity')","('Mar 2016', 'CIF (Baht)')","('Jan - Mar 2016', 'Quantity')","('Jan - Mar 2016', 'CIF (Baht)')"
BR,BRAZIL,8,4148,503,315060
CN,CHINA,3000,247002,3000,247002
FR,FRANCE,73,28677,588,165526
DE,GERMANY,350,56312,350,56312
JP,JAPAN,47176,3739188,114570,8856939
KR,"KOREA,REPUBLIC OF",260490,13350841,523650,27276737
NL,NETHERLANDS,0,0,2000,276878
RU,RUSSIAN FEDERATION,0,0,8250,1493369
SG,SINGAPORE,2160,173975,4336,406973
TW,"TAIWAN, PROVINCE OF CHINA",14,5435,14,5435
TH,THAILAND,1350,154490,1350,154490
GB,UNITED KINGDOM,700,108412,1225,194806
US,UNITED STATES,0,0,38,22319
SUM,SUM,315321,17868480,659874,39471846
