"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'CIF (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'CIF (Baht)')"
BE,BELGIUM,24000,2442246,24000,2442246
HK,HONG KONG,5715,1113678,5715,1113678
KR,"KOREA,REPUBLIC OF",271120,17648746,271120,17648746
SG,SINGAPORE,206380,12064826,206380,12064826
SE,SWEDEN,10000,784853,10000,784853
AE,UNITED ARAB EMIRATES,49400,2299564,49400,2299564
GB,UNITED KINGDOM,17000,1737103,17000,1737103
US,UNITED STATES,166055,11642620,166055,11642620
VN,VIETNAM,30000,1732089,30000,1732089
SUM,SUM,779670,51465725,779670,51465725
