"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'CIF (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'CIF (Baht)')"
AT,AUSTRIA,6000,615663,6000,615663
BE,BELGIUM,14750,1620540,14750,1620540
CA,CANADA,3100,866671,3100,866671
CN,CHINA,1133533,56008081,1133533,56008081
DE,GERMANY,7323,1322660,7323,1322660
IN,INDIA,24000,1723648,24000,1723648
ID,INDONESIA,1,119,1,119
IT,ITALY,2750,1559921,2750,1559921
JP,JAPAN,298905,32328253,298905,32328253
KR,"KOREA,REPUBLIC OF",241250,11748181,241250,11748181
KW,KUWAIT,200,109520,200,109520
MY,MALAYSIA,65300,3292408,65300,3292408
NL,NETHERLANDS,10,3400,10,3400
SA,SAUDI ARABIA,87250,3573118,87250,3573118
SG,SINGAPORE,2104409,97898911,2104409,97898911
TW,"TAIWAN, PROVINCE OF CHINA",6510,1510812,6510,1510812
AE,UNITED ARAB EMIRATES,334000,13657563,334000,13657563
GB,UNITED KINGDOM,500,235959,500,235959
US,UNITED STATES,208190,31953772,208190,31953772
SUM,SUM,4537981,260029200,4537981,260029200
