"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'CIF (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'CIF (Baht)')"
AT,AUSTRIA,1153,374073,1153,374073
CN,CHINA,1121960,61336382,1121960,61336382
DE,GERMANY,9000,875790,9000,875790
IN,INDIA,82950,2183839,82950,2183839
ID,INDONESIA,30000,2355274,30000,2355274
IT,ITALY,2000,140625,2000,140625
JP,JAPAN,456986,36042180,456986,36042180
KR,"KOREA,REPUBLIC OF",1112300,47287064,1112300,47287064
MY,MALAYSIA,60000,7683727,60000,7683727
NL,NETHERLANDS,49500,3860993,49500,3860993
OM,OMAN,247500,7624712,247500,7624712
SA,SAUDI ARABIA,1465500,51775187,1465500,51775187
SG,SINGAPORE,862050,36966456,862050,36966456
ZA,SOUTH AFRICA,544500,17554047,544500,17554047
TW,"TAIWAN, PROVINCE OF CHINA",309211,13610332,309211,13610332
AE,UNITED ARAB EMIRATES,925225,33045322,925225,33045322
US,UNITED STATES,101625,3476676,101625,3476676
VN,VIETNAM,50,5729,50,5729
SUM,SUM,7381510,326198408,7381510,326198408
