"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'CIF (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'CIF (Baht)')"
CN,CHINA,15500,1086037,15505,1091992
FR,FRANCE,11000,1142091,26876,2301825
DE,GERMANY,2276,360119,2801,453116
IN,INDIA,0,0,50,14225
JP,JAPAN,145822,5845724,438048,19162639
KR,"KOREA,REPUBLIC OF",345530,17026517,663620,32934992
MY,MALAYSIA,0,0,1000,264729
RU,RUSSIAN FEDERATION,0,0,8250,1352638
US,UNITED STATES,0,0,363,44425
SUM,SUM,520128,25460488,1156513,57620581
