"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'CIF (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'CIF (Baht)')"
AU,AUSTRALIA,16250,794267,16250,794267
CN,CHINA,47000,4369816,47000,4369816
DE,GERMANY,18,12828,18,12828
IN,INDIA,275,28080,275,28080
ID,INDONESIA,100,26650,100,26650
JP,JAPAN,1104441,85806922,1104441,85806922
KR,"KOREA,REPUBLIC OF",814800,45116232,814800,45116232
MY,MALAYSIA,153000,7581427,153000,7581427
NL,NETHERLANDS,24750,1646944,24750,1646944
SA,SAUDI ARABIA,99000,4200992,99000,4200992
SG,SINGAPORE,3050518,159705919,3050518,159705919
CH,SWITZERLAND,3,12773,3,12773
TW,"TAIWAN, PROVINCE OF CHINA",4000,312477,4000,312477
AE,UNITED ARAB EMIRATES,148500,6582529,148500,6582529
SUM,SUM,5462655,316197856,5462655,316197856
