"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2015', 'Quantity')","('Apr 2015', 'CIF (Baht)')","('Jan - Apr 2015', 'Quantity')","('Jan - Apr 2015', 'CIF (Baht)')"
AU,AUSTRALIA,39,28075,48562,3963808
BE,BELGIUM,0,0,326876,17876525
CN,CHINA,685136,40047998,3005901,183217183
FI,FINLAND,23375,1261551,75625,4770499
FR,FRANCE,49500,2723456,168912,9211215
DE,GERMANY,24805,5958588,53974,14490154
IN,INDIA,1650,171121,17325,674927
ID,INDONESIA,42375,4586405,96594,11309821
IL,ISRAEL,6,197,6,197
IT,ITALY,50975,2377376,165120,11398715
JP,JAPAN,891083,64476801,4947928,339694572
KP,KOREA DPR,0,0,78200,4231464
KR,"KOREA,REPUBLIC OF",1991825,100083144,6996798,372194397
KW,KUWAIT,0,0,24750,1122962
MY,MALAYSIA,99953,11589962,341638,43144660
MA,MOROCCO,0,0,130,70395
NL,NETHERLANDS,49500,4552427,237900,17459378
PH,PHILIPPINES,0,0,5,1191
RU,RUSSIAN FEDERATION,198000,8259404,198000,8259404
SA,SAUDI ARABIA,2893415,109919271,12907385,478789129
SG,SINGAPORE,752028,50961072,5109649,289532545
SK,SLOVAKIA,0,0,5250,365550
ES,SPAIN,0,0,49500,2223686
CH,SWITZERLAND,0,0,2,740
TW,"TAIWAN, PROVINCE OF CHINA",145464,7494952,1055313,40557747
TH,THAILAND,90000,3270216,310380,13643613
AE,UNITED ARAB EMIRATES,272250,10503317,1066325,38735925
GB,UNITED KINGDOM,570,53180,20150,2492840
US,UNITED STATES,46560,4210616,1072594,61024592
VN,VIETNAM,2573,543371,29435,3294778
SUM,SUM,8311082,433072500,38410227,1973752612
