"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'CIF (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'CIF (Baht)')"
CN,CHINA,2380,291944,4180,292340
FR,FRANCE,0,0,3,1460
DE,GERMANY,5500,141022,5525,162429
JP,JAPAN,1550,273232,5975,929878
MY,MALAYSIA,118500,5481559,679600,28492232
PH,PHILIPPINES,3,1335,3,1335
SA,SAUDI ARABIA,74250,3257035,668250,28262018
SG,SINGAPORE,24750,1090584,49500,1970281
ES,SPAIN,123750,5762446,321750,13886318
TW,"TAIWAN, PROVINCE OF CHINA",0,0,498,406104
SUM,SUM,350683,16299157,1735284,74404395
