"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2018', 'Quantity')","('Nov 2018', 'CIF (Baht)')","('Jan - Nov 2018', 'Quantity')","('Jan - Nov 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,14400,655409
CN,CHINA,3010,231541,48830,3806067
FR,FRANCE,12000,1474882,91874,9468821
DE,GERMANY,175,29808,6352,1177231
IN,INDIA,0,0,14400,810582
JP,JAPAN,214285,10630655,681325,36922749
KR,"KOREA,REPUBLIC OF",275901,15179682,2565195,124490146
MY,MALAYSIA,0,0,20,5625
RU,RUSSIAN FEDERATION,8250,1351391,33000,5439035
TW,"TAIWAN, PROVINCE OF CHINA",0,0,0,2177
GB,UNITED KINGDOM,0,0,0,385
US,UNITED STATES,366,48500,1465,318463
SUM,SUM,513987,28946459,3456861,183096690
