"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2012', 'Quantity')","('Nov 2012', 'CIF (Baht)')","('Jan - Nov 2012', 'Quantity')","('Jan - Nov 2012', 'CIF (Baht)')"
AU,AUSTRALIA,995,34404,16995,641803
AT,AUSTRIA,0,0,1375,114731
BE,BELGIUM,0,0,2365180,143657715
BR,BRAZIL,11000,881306,33000,2820767
CA,CANADA,0,0,62868,4793714
CN,CHINA,89100,3798992,2228672,104663695
FR,FRANCE,24750,1481960,99517,7792625
DE,GERMANY,1410,1320546,756877,96413916
HK,HONG KONG,0,0,20000,3252336
IN,INDIA,0,0,563500,25266113
ID,INDONESIA,0,0,567526,26101695
IR,IRAN (ISLAMIC REPUBLIC OF),49500,2095448,1831500,75727660
IL,ISRAEL,0,0,60,5214
IT,ITALY,0,0,25,10342
JP,JAPAN,1442105,93726652,16711376,1086747855
KR,"KOREA,REPUBLIC OF",0,0,830747,38223252
KW,KUWAIT,544500,24117413,4059100,172160226
MY,MALAYSIA,140000,6121844,4669075,214109011
MX,MEXICO,0,0,387,78708
NL,NETHERLANDS,800,235669,107600,9877681
QA,QATAR,3258684,147835951,29391142,1343973764
SA,SAUDI ARABIA,2527500,108513122,20064375,869066506
SG,SINGAPORE,2360750,106384346,29878496,1354321196
SE,SWEDEN,0,0,22000,1719647
CH,SWITZERLAND,0,0,16730,922577
TW,"TAIWAN, PROVINCE OF CHINA",0,0,35075,1682028
TH,THAILAND,0,0,22138,951414
AE,UNITED ARAB EMIRATES,1286400,54245609,20149431,851121711
GB,UNITED KINGDOM,0,0,0,396
US,UNITED STATES,40958,5012604,379812,26536775
SUM,SUM,11778452,555805866,134884579,6462755073
