"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2020', 'Quantity')","('Jun 2020', 'CIF (Baht)')","('Jan - Jun 2020', 'Quantity')","('Jan - Jun 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1001,112761
BE,BELGIUM,14,10506,107237,5020432
BR,BRAZIL,1534504,81016374,6075379,311520466
CA,CANADA,1440,47013,1440,47013
CN,CHINA,83950,4323789,919768,32139984
FI,FINLAND,123750,6256703,544500,29128137
FR,FRANCE,8195,566388,40280,6118367
DE,GERMANY,375581,24650739,2246146,138986546
HK,HONG KONG,0,0,336,30521
HU,HUNGARY,0,0,13050,738665
IN,INDIA,0,0,2057,175857
ID,INDONESIA,0,0,20750,8331553
IE,IRELAND,0,0,0,4067
IL,ISRAEL,9900,818720,22200,1802954
IT,ITALY,700,132258,10584,3680835
JP,JAPAN,211892,16960849,1297102,99232656
KR,"KOREA,REPUBLIC OF",148011,7606357,1379345,60793741
KW,KUWAIT,420750,10012742,2301800,60045006
LU,LUXEMBOURG,12500,1201036,67500,7807709
MY,MALAYSIA,4633620,132188445,31591046,950184721
MM,MYANMAR,0,0,1,66
NL,NETHERLANDS,286960,13702981,1901300,102609484
NZ,NEW ZEALAND,0,0,0,252
NO,NORWAY,104260,5299369,312840,15670563
PT,PORTUGAL,0,0,100,59370
QA,QATAR,867000,23741818,7114500,210009881
SA,SAUDI ARABIA,3754950,100260220,20367080,576405736
SG,SINGAPORE,1373050,41737678,12851075,415966263
CH,SWITZERLAND,0,0,780,170156
TW,"TAIWAN, PROVINCE OF CHINA",1495,236216,34771,2971087
TH,THAILAND,0,0,1220,33158
TR,TÜRKIYE,1375,86070,1375,86070
AE,UNITED ARAB EMIRATES,396000,10292483,1659554,44906733
GB,UNITED KINGDOM,20000,1671126,81103,6512923
US,UNITED STATES,770255,23176579,4194832,133063833
VN,VIETNAM,12000,1543102,69580,5389207
SUM,SUM,15152152,507539561,95231632,3229756773
